,Unnamed: 0,latitude,longitude,extra.normal_bikes,Venue Distance,Venue
0,0,55.7449006,37.6020183,5,147,14
1,1,55.6337498,37.5205529,2,167,33
2,2,55.7812396,37.59239,3,63,23
3,3,55.7817849,37.6144726,6,133,21
4,4,55.7896632,37.6044645,7,93,19
5,5,55.78921,37.609836,6,216,22
6,6,55.7509180556,37.6005927778,10,257,15
7,7,55.7574181,37.6086772,21,78,10
8,8,55.761072,37.601473,0,110,24
9,9,55.7646115,37.6052356,13,68,19
10,10,55.7667105556,37.6094894444,3,139,28
11,11,55.7599141,37.6316201,1,82,19
12,12,55.760381,37.645665,9,41,35
13,13,55.7533283333,37.6473502778,3,26,16
14,14,55.7598405,37.6257601,5,154,4
15,15,55.7335583333,37.596925,15,176,9
16,16,55.7257472222,37.5898638889,13,164,6
17,17,55.72175,37.5864,8,140,9
18,18,55.7191972222,37.5834861111,6,163,13
19,19,55.7155083333,37.5779888889,12,119,5
20,20,55.7125583333,37.5695222222,31,274,1
21,21,55.7351049,37.5937289,17,87,10
22,22,55.727509,37.583821,11,38,15
23,23,55.724242,37.579058,4,83,25
24,24,55.721972,37.575858,6,138,20
25,25,55.736464,37.581356,5,98,15
26,26,55.726481,37.580778,16,186,24
27,27,55.731139,37.569297,12,227,12
28,28,55.726908,37.559608,2,73,14
29,29,55.719322,37.570481,1,163,8
30,30,55.773194,37.614186,4,90,27
31,31,55.772192,37.632814,17,93,21
32,32,55.7914268,37.5905396,7,140,13
33,33,55.7861479,37.6225279,6,164,13
34,34,55.7886534,37.6290169,11,145,23
35,35,55.7804054,37.6334722,13,127,19
36,36,55.7865412,37.6347031,5,80,32
37,37,55.837238,37.6365455,5,189,7
38,38,55.7835199,37.5765806,9,106,16
39,39,55.7720802,37.6465038,3,115,13
40,40,55.7766712,37.6591375,16,187,3
41,41,55.7791071,37.6225146,11,225,17
42,42,55.6880358,37.572725,7,177,22
43,43,55.7761657,37.6320952,1,80,19
44,44,55.7481479,37.5393069,3,477,1
45,45,55.6636625,37.6066403,9,79,16
46,46,55.6794909,37.5953863,6,141,7
47,47,55.6667781,37.5268164,15,48,20
48,48,55.668303,37.5341468,4,76,19
49,49,55.6416745,37.604728,11,129,20
