,latitude,longitude,Venue,Venue Distance,Venue Name
0,55.7449006,37.6020183,Парк Храма Христа Спасителя,270,Park
1,55.7449006,37.6020183,Детская площадка на Гоголевском бульваре,147,Playground
2,55.7449006,37.6020183,Преображенный дуб,251,Park
3,55.7449006,37.6020183,Площадка на 2ом Обыденском,262,Playground
4,55.7449006,37.6020183,"Площадка у храма Илии Пророка, сделанная на средства от платных парковок",297,Park
5,55.7449006,37.6020183,Парк имени Н.И.Михайлова,325,Park
6,55.7449006,37.6020183,Беседочка,337,Playground
7,55.7449006,37.6020183,Детская площадка,347,Playground
8,55.7449006,37.6020183,Morning Sun Bench,426,Park
9,55.7449006,37.6020183,Сквер на Остоженке,435,Park
10,55.7449006,37.6020183,Детский Сад 1331,446,Playground
11,55.7449006,37.6020183,Угрюмый дуб,446,Park
12,55.7449006,37.6020183,Детская Площадка,464,Playground
13,55.7449006,37.6020183,Детская площадка,503,Playground
14,55.6337498,37.5205529,Детская площадка,281,Playground
15,55.6337498,37.5205529,Детская площадка,167,Playground
16,55.6337498,37.5205529,Площадка Сергей Игоревича!,186,Playground
17,55.6337498,37.5205529,Прогулка с Маней,204,Dog Park
18,55.6337498,37.5205529,НАШ ДВОР,214,"Shipping, Freight, and Material Transportation Service"
19,55.6337498,37.5205529,Детская Площадка У Поликлиники 205,221,Playground
20,55.6337498,37.5205529,Детская площадка,223,Playground
21,55.6337498,37.5205529,Детская площадка,226,Playground
22,55.6337498,37.5205529,Спортивная площадка,250,Playground
23,55.6337498,37.5205529,Детская площадка,256,Playground
24,55.6337498,37.5205529,Площадка для собак,279,Dog Park
25,55.6337498,37.5205529,Street Gym,287,Playground
26,55.6337498,37.5205529,Детская Площадка Самолёт,302,Playground
27,55.6337498,37.5205529,Лодка-песочница,312,Playground
28,55.6337498,37.5205529,страшный парк,313,Playground
29,55.6337498,37.5205529,Дорожка из желтого кирпича,324,Playground
30,55.6337498,37.5205529,Детская Площадка,336,Playground
31,55.6337498,37.5205529,Кепка,348,Playground
32,55.6337498,37.5205529,Детская Лазилка,350,Playground
33,55.6337498,37.5205529,детская площадка,362,Playground
34,55.6337498,37.5205529,Детская площадка,363,Playground
35,55.6337498,37.5205529,детская площадка,365,Playground
36,55.6337498,37.5205529,Детская Площадка,375,Playground
37,55.6337498,37.5205529,Лавка Выпивавка,377,Playground
38,55.6337498,37.5205529,Мини Сквер,390,Park
39,55.6337498,37.5205529,Собачья площадка,400,Dog Park
40,55.6337498,37.5205529,Dog street,411,Dog Park
41,55.6337498,37.5205529,Детская площадка у храма,435,Playground
42,55.6337498,37.5205529,Детская площадка,478,Playground
43,55.6337498,37.5205529,качельки!,479,Playground
44,55.6337498,37.5205529,Лавочка у подъезда,482,Park
45,55.6337498,37.5205529,Полянка,483,Dog Park
46,55.6337498,37.5205529,Детская Площадка,489,Playground
47,55.7812396,37.59239,Миусский сквер,358,Park
48,55.7812396,37.59239,Дворик среди Лесных переулков,438,Playground
49,55.7812396,37.59239,KidsTime,63,Playground
50,55.7812396,37.59239,Детская Площадка,74,Playground
51,55.7812396,37.59239,двор тролля,123,Playground
52,55.7812396,37.59239,Трубы,206,Playground
53,55.7812396,37.59239,Детская Площадка На Белорусской,209,Playground
54,55.7812396,37.59239,"Двор у 6а,на Скамеечке",215,Playground
55,55.7812396,37.59239,Детская Площадка,228,Playground
56,55.7812396,37.59239,Детская площадка напротив Бутырки,261,Playground
57,55.7812396,37.59239,Промокла,279,Playground
58,55.7812396,37.59239,Двор Антона,281,Playground
59,55.7812396,37.59239,Двор с медведем,308,Playground
60,55.7812396,37.59239,Двор,319,Playground
61,55.7812396,37.59239,Двор Илюши,332,Playground
62,55.7812396,37.59239,Детская площадка,375,Playground
63,55.7812396,37.59239,Детская Площадка,376,Playground
64,55.7812396,37.59239,Обеденная Поляна,402,Playground
65,55.7812396,37.59239,Паок Культуры И Отдыха,408,Park
66,55.7812396,37.59239,Двор Рядом С Домом,428,Playground
67,55.7812396,37.59239,Сквер У Тоскиной,428,Playground
68,55.7812396,37.59239,весковский сквер,470,Park
69,55.7812396,37.59239,Детская площадка,476,Playground
70,55.7817849,37.6144726,Новоекатерининский сквер,311,Park
71,55.7817849,37.6144726,Екатерининский сквер,349,Park
72,55.7817849,37.6144726,Детская Площадка В Екатерининском Парке,422,Playground
73,55.7817849,37.6144726,Ротонда в Екатеринском Парке,401,Park
74,55.7817849,37.6144726,Антропова Яма,380,Park
75,55.7817849,37.6144726,Детская площадка,133,Playground
76,55.7817849,37.6144726,Детский парк,231,Playground
77,55.7817849,37.6144726,Встреча ОРС-club,238,Park
78,55.7817849,37.6144726,Дворик магнолия,252,Playground
79,55.7817849,37.6144726,Качели,305,Playground
80,55.7817849,37.6144726,листочки,309,Playground
81,55.7817849,37.6144726,Детская площадка,343,Playground
82,55.7817849,37.6144726,Московский сквер поэтов,374,Park
83,55.7817849,37.6144726,Детская площадка во дворе 16/20,408,Playground
84,55.7817849,37.6144726,Крокодил в Екатерининском Парке,437,Playground
85,55.7817849,37.6144726,Детская Площадка на Самотечной,453,Playground
86,55.7817849,37.6144726,Турничок и брусья,477,Playground
87,55.7817849,37.6144726,Аллея,479,Park
88,55.7817849,37.6144726,Спорт Неограниченных возиожностей,488,Park
89,55.7817849,37.6144726,Garden of the Russian Army,149,Restaurant
90,55.7817849,37.6144726,Yekaterininskiy Park,438,Park
91,55.7896632,37.6044645,Площадка На Районе,93,Playground
92,55.7896632,37.6044645,Дворик Для Собак,121,Dog Park
93,55.7896632,37.6044645,Детская площадка,140,Playground
94,55.7896632,37.6044645,Дворик,145,Playground
95,55.7896632,37.6044645,Двор Кулича,146,Playground
96,55.7896632,37.6044645,Во Дворе,202,Playground
97,55.7896632,37.6044645,Дворик напротив МИИТа,216,Playground
98,55.7896632,37.6044645,Сквер МИИТа Императора Николая II,238,Park
99,55.7896632,37.6044645,аллея,259,Dog Park
100,55.7896632,37.6044645,Двор с Кошкой,272,Playground
101,55.7896632,37.6044645,Детская площадка,317,Playground
102,55.7896632,37.6044645,Площадка,331,Playground
103,55.7896632,37.6044645,Космическая детская площадка,345,Playground
104,55.7896632,37.6044645,Детская площадка,451,Playground
105,55.7896632,37.6044645,Детская площадка У детсада,454,Playground
106,55.7896632,37.6044645,Малый Песок,457,Playground
107,55.7896632,37.6044645,Образцовая Детская площадка,470,Playground
108,55.7896632,37.6044645,парк за МГТУ Станкин,487,Park
109,55.7896632,37.6044645,Площадка около школы,490,Playground
110,55.78921,37.609836,Двор с лошадками,216,Playground
111,55.78921,37.609836,Площадка около школы,253,Playground
112,55.78921,37.609836,Детская площадка,272,Playground
113,55.78921,37.609836,Сквер МИИТа Императора Николая II,273,Park
114,55.78921,37.609836,детская площадка за семьей,276,Playground
115,55.78921,37.609836,Детская Площадка В 38Х,324,Playground
116,55.78921,37.609836,Детская площадка,342,Playground
117,55.78921,37.609836,Турничок и брусья,348,Playground
118,55.78921,37.609836,Дворик у дома,349,Playground
119,55.78921,37.609836,Детская площадка,352,Playground
120,55.78921,37.609836,Двор перед школой,359,Park
121,55.78921,37.609836,Площадка На Районе,374,Playground
122,55.78921,37.609836,Под окнами Наталии Борисовны :D,387,Playground
123,55.78921,37.609836,Турничок и брусья,405,Playground
124,55.78921,37.609836,Детская площадка,412,Playground
125,55.78921,37.609836,Помоечка На Лазаревском,413,Playground
126,55.78921,37.609836,Образцовая Детская площадка,418,Playground
127,55.78921,37.609836,детская площадка,436,Playground
128,55.78921,37.609836,Двор Кулича,442,Playground
129,55.78921,37.609836,Дворик Для Собак,460,Dog Park
130,55.78921,37.609836,Дворик,476,Playground
131,55.78921,37.609836,ВОСХОЖДЕНИЕ ДЕТСКИЙ РАЗВИВАЮЩИЙ ЦЕНТР,437,Playground
132,55.7509180556,37.6005927778,Качели на Арбате,454,Playground
133,55.7509180556,37.6005927778,Микросквер с бюстом Фрунзе,269,Park
134,55.7509180556,37.6005927778,Детская площадка,357,Playground
135,55.7509180556,37.6005927778,Morning Sun Bench,257,Park
136,55.7509180556,37.6005927778,Сквер Киселева,287,Park
137,55.7509180556,37.6005927778,летняя читальня,306,Park
138,55.7509180556,37.6005927778,Детская Площадка,361,Playground
139,55.7509180556,37.6005927778,Парк имени Н.И.Михайлова,379,Park
140,55.7509180556,37.6005927778,Уютный двор около Арбата,389,Playground
141,55.7509180556,37.6005927778,Детский Сад 1331,448,Playground
142,55.7509180556,37.6005927778,Дворик С Качельками,458,Playground
143,55.7509180556,37.6005927778,Скверик Вокруг Большого Тополя,466,Park
144,55.7509180556,37.6005927778,Зеленый пятачок у спортплощадки,486,Dog Park
145,55.7509180556,37.6005927778,Дворик,486,Playground
146,55.7509180556,37.6005927778,Детская площадка на Гоголевском бульваре,622,Playground
147,55.7574181,37.6086772,Сквер Строителей Москвы,186,Park
148,55.7574181,37.6086772,Сквер Мстислава Ростроповича,209,Park
149,55.7574181,37.6086772,Сквер у Дома Композиторов,208,Park
150,55.7574181,37.6086772,Сквер Муслима Магомаева,349,Park
151,55.7574181,37.6086772,Дворик,78,Playground
152,55.7574181,37.6086772,Сквер Во Дворе Брюсов2/14,153,Park
153,55.7574181,37.6086772,Детская Площадка,167,Playground
154,55.7574181,37.6086772,mokba center,293,Park
155,55.7574181,37.6086772,качели,354,Playground
156,55.7574181,37.6086772,Дворик,356,Playground
157,55.761072,37.601473,Детский городок,258,Playground
158,55.761072,37.601473,Сквер Муслима Магомаева,270,Park
159,55.761072,37.601473,Новопушкинский сквер,398,Park
160,55.761072,37.601473,Сквер Мстислава Ростроповича,402,Park
161,55.761072,37.601473,Сквер у Дома Композиторов,459,Park
162,55.761072,37.601473,Сквер Булгакова,401,Park
163,55.761072,37.601473,Корабль на Тверском бульваре,295,Playground
164,55.761072,37.601473,Маленький Дворик,110,Playground
165,55.761072,37.601473,на качельках,157,Playground
166,55.761072,37.601473,детская площадка 01,241,Playground
167,55.761072,37.601473,Площадка,259,Playground
168,55.761072,37.601473,Арочка,285,Public Art
169,55.761072,37.601473,Детская Площадка,300,Playground
170,55.761072,37.601473,Детская площадка,309,Playground
171,55.761072,37.601473,Дворик,312,Playground
172,55.761072,37.601473,На брусьях,333,Playground
173,55.761072,37.601473,Аллея,404,Park
174,55.761072,37.601473,Двор,414,Playground
175,55.761072,37.601473,Двор,417,Playground
176,55.761072,37.601473,Детская Площалка / Playground,428,Playground
177,55.761072,37.601473,Отличное Настроение 70 лвл,434,Playground
178,55.761072,37.601473,Сквер на Спиридоновке,441,Park
179,55.761072,37.601473,Детская Площадка,480,Playground
180,55.761072,37.601473,Ploshadka,507,Dog Park
181,55.7646115,37.6052356,Новопушкинский сквер,94,Park
182,55.7646115,37.6052356,Детский городок,200,Playground
183,55.7646115,37.6052356,Аллея,68,Park
184,55.7646115,37.6052356,Детская Площалка / Playground,132,Playground
185,55.7646115,37.6052356,Площадка для собак,174,Dog Park
186,55.7646115,37.6052356,Отличное Настроение 70 лвл,203,Playground
187,55.7646115,37.6052356,Двор в арке Подмухи и ТО,255,Playground
188,55.7646115,37.6052356,Металл 2,260,Playground
189,55.7646115,37.6052356,Дворик Atrii Kings,261,Playground
190,55.7646115,37.6052356,Тихий дворик,273,Playground
191,55.7646115,37.6052356,Горка,274,Playground
192,55.7646115,37.6052356,Детская площадка,355,Playground
193,55.7646115,37.6052356,Дворик,359,Park
194,55.7646115,37.6052356,Маленький Дворик,396,Playground
195,55.7646115,37.6052356,на качельках,440,Playground
196,55.7646115,37.6052356,площадочка,463,Playground
197,55.7646115,37.6052356,Двор,482,Playground
198,55.7646115,37.6052356,Площадка,487,Playground
199,55.7646115,37.6052356,детская площадка,490,Playground
200,55.7667105556,37.6094894444,Hermitage Garden (Сад «Эрмитаж»),450,Park
201,55.7667105556,37.6094894444,Новопушкинский сквер,438,Park
202,55.7667105556,37.6094894444,Детская площадка,355,Playground
203,55.7667105556,37.6094894444,Петровский дворик,258,Restaurant
204,55.7667105556,37.6094894444,Детская площадка на Страстном бульваре,191,Playground
205,55.7667105556,37.6094894444,Двор в арке Подмухи и ТО,139,Playground
206,55.7667105556,37.6094894444,Нарышкинский Сквер,170,Park
207,55.7667105556,37.6094894444,Качелька,196,Playground
208,55.7667105556,37.6094894444,Металл 2,242,Playground
209,55.7667105556,37.6094894444,Тихий дворик,251,Playground
210,55.7667105556,37.6094894444,Детская площадка на Страстном,253,Playground
211,55.7667105556,37.6094894444,Горка,253,Playground
212,55.7667105556,37.6094894444,Дворик Atrii Kings,276,Playground
213,55.7667105556,37.6094894444,Площадка для собак,291,Dog Park
214,55.7667105556,37.6094894444,Парк Екатерининской больницы,323,Park
215,55.7667105556,37.6094894444,Парк Осипа Бове,324,Park
216,55.7667105556,37.6094894444,Дворик,330,Park
217,55.7667105556,37.6094894444,Зозо,379,Playground
218,55.7667105556,37.6094894444,детская площадка,398,Playground
219,55.7667105556,37.6094894444,Отличное Настроение 70 лвл,413,Playground
220,55.7667105556,37.6094894444,Аллея,419,Park
221,55.7667105556,37.6094894444,Двор,423,Playground
222,55.7667105556,37.6094894444,Детская Площалка / Playground,448,Playground
223,55.7667105556,37.6094894444,Парк Сладкого/Скучный Сад,453,Park
224,55.7667105556,37.6094894444,Sad Ermitazh,455,Park
225,55.7667105556,37.6094894444,Детская площадка,461,Playground
226,55.7667105556,37.6094894444,Hermitage Bahçesi,488,Park
227,55.7667105556,37.6094894444,Скверик ДИГМ,492,Park
228,55.7599141,37.6316201,Двор Желтых Домов,330,Playground
229,55.7599141,37.6316201,Ильинский сквер,480,Park
230,55.7599141,37.6316201,Дворик с фонтаном,435,Park
231,55.7599141,37.6316201,квартира 61,82,Playground
232,55.7599141,37.6316201,Boldkit HQ,255,Playground
233,55.7599141,37.6316201,Музейный парк,262,Park
234,55.7599141,37.6316201,За маком,280,Playground
235,55.7599141,37.6316201,Площадочка,287,Playground
236,55.7599141,37.6316201,Tolik Baran,289,Playground
237,55.7599141,37.6316201,Мясницкий сквер,293,Park
238,55.7599141,37.6316201,Турнички,313,Playground
239,55.7599141,37.6316201,Площадка,351,Playground
240,55.7599141,37.6316201,Дворик дома 24/7 на Мясницкой,425,Park
241,55.7599141,37.6316201,детская площадка парка горка,441,Playground
242,55.7599141,37.6316201,Двор С Русалкой,443,Playground
243,55.7599141,37.6316201,Качели,450,Playground
244,55.7599141,37.6316201,Sealy Dog's Promenade,452,Dog Park
245,55.7599141,37.6316201,Дворик На Девятке,462,Playground
246,55.7599141,37.6316201,Le Petit Toit,478,Park
247,55.760381,37.645665,Milyutinsky Park (Милютинский парк),457,Park
248,55.760381,37.645665,Сквер на Покровке,319,Park
249,55.760381,37.645665,Дворик на Покровке,259,Playground
250,55.760381,37.645665,Лавка МАД,41,Park
251,55.760381,37.645665,Детская Площадка,130,Playground
252,55.760381,37.645665,Детская Площадка,190,Playground
253,55.760381,37.645665,Площадка у Суховилиной,247,Playground
254,55.760381,37.645665,Детская Площадка,264,Playground
255,55.760381,37.645665,Вместе с мамой,313,Education
256,55.760381,37.645665,Лучшая площадка на Чаплыгина,316,Playground
257,55.760381,37.645665,Детская площадка,341,Playground
258,55.760381,37.645665,Спорт и бухло,346,Playground
259,55.760381,37.645665,Покровские Ворота,357,Playground
